inflation,output,market_inflation,market_output,fe_inflation,fe_output,target
0.256,0.169,0.0,0.0,-0.256,-0.169,0
0.206,0.109,0.146,0.088,-0.06,-0.021000000000000005,0
0.091,-0.037,0.116,0.061,0.02500000000000001,0.098,0
0.019,0.201,0.046,-0.022,0.027,-0.223,0
0.019,-0.082,0.01,0.119,-0.009,0.201,0
-0.519,0.542,0.01,-0.049,0.529,-0.5910000000000001,0
-0.654,0.402,-0.312,0.271,0.342,-0.131,0
-1.081,-0.852,-0.425,0.213,0.6559999999999999,1.065,0
-0.772,-0.422,-0.67,-0.511,0.10199999999999998,-0.08900000000000002,0
-0.735,0.843,-0.486,-0.223,0.249,-1.066,0
0.256,0.169,0.0,0.0,-0.256,-0.169,4
0.21,0.108,0.154,0.083,-0.055999999999999994,-0.024999999999999994,4
0.095,-0.04,0.12,0.055,0.024999999999999994,0.095,4
0.023,0.2,0.049,-0.021,0.026000000000000002,-0.221,4
0.021,-0.087,0.012,0.112,-0.009000000000000001,0.199,4
-0.518,0.538,0.012,-0.053,0.53,-0.5910000000000001,4
-0.655,0.403,-0.316,0.28,0.339,-0.123,4
-1.084,-0.842,-0.432,0.234,0.6520000000000001,1.076,4
-0.776,-0.446,-0.672,-0.573,0.10399999999999998,-0.12699999999999995,4
-0.737,0.804,-0.481,-0.285,0.256,-1.089,4
0.256,0.169,0.0,0.0,-0.256,-0.169,9
0.208,0.107,0.149,0.083,-0.059,-0.023999999999999994,9
0.091,-0.041,0.114,0.055,0.023000000000000007,0.096,9
0.02,0.2,0.048,-0.022,0.028,-0.222,9
0.019,-0.086,0.01,0.112,-0.009,0.198,9
-0.519,0.539,0.01,-0.053,0.529,-0.5920000000000001,9
-0.654,0.405,-0.312,0.28,0.342,-0.125,9
-1.086,-0.842,-0.438,0.235,0.6480000000000001,1.077,9
-0.783,-0.443,-0.684,-0.564,0.09899999999999998,-0.12099999999999994,9
-0.77,0.802,-0.54,-0.279,0.22999999999999998,-1.081,9
0.256,0.169,0.0,0.0,-0.256,-0.169,24
0.21,0.108,0.154,0.083,-0.055999999999999994,-0.024999999999999994,24
0.097,-0.04,0.124,0.055,0.026999999999999996,0.095,24
0.025,0.2,0.052,-0.021,0.026999999999999996,-0.221,24
0.024,-0.087,0.014,0.11,-0.01,0.197,24
-0.515,0.539,0.014,-0.051,0.529,-0.5900000000000001,24
-0.659,0.394,-0.325,0.264,0.334,-0.13,24
-1.092,-0.858,-0.441,0.209,0.651,1.067,24
-0.793,-0.436,-0.699,-0.532,0.09400000000000008,-0.09600000000000003,24
-0.769,0.824,-0.531,-0.244,0.238,-1.068,24
