inflation,output,target_inflation,target_output,persuasion,network_type
0.561,0.301,0.45,0.34,0.0,albert-barabasi
0.562,0.3,0.47,0.39,0.0,albert-barabasi
0.561,0.296,0.49,0.42,0.0,albert-barabasi
0.56,0.297,0.52,0.38,0.0,albert-barabasi
0.558,0.282,0.54,0.5,0.0,albert-barabasi
0.557,0.287,0.52,0.38,0.0,albert-barabasi
0.558,0.291,0.47,0.39,0.0,albert-barabasi
0.558,0.288,0.51,0.43,0.0,albert-barabasi
0.559,0.298,0.48,0.34,0.0,albert-barabasi
0.559,0.3,0.49,0.38,0.0,albert-barabasi
0.561,0.302,0.45,0.34,0.1,albert-barabasi
0.562,0.303,0.46,0.38,0.1,albert-barabasi
0.562,0.297,0.49,0.42,0.1,albert-barabasi
0.56,0.296,0.53,0.4,0.1,albert-barabasi
0.558,0.28,0.54,0.5,0.1,albert-barabasi
0.557,0.285,0.52,0.39,0.1,albert-barabasi
0.558,0.291,0.48,0.38,0.1,albert-barabasi
0.558,0.288,0.5,0.43,0.1,albert-barabasi
0.559,0.298,0.48,0.34,0.1,albert-barabasi
0.56,0.299,0.48,0.39,0.1,albert-barabasi
0.562,0.304,0.45,0.34,0.2,albert-barabasi
0.563,0.306,0.46,0.37,0.2,albert-barabasi
0.563,0.301,0.48,0.41,0.2,albert-barabasi
0.561,0.298,0.53,0.4,0.2,albert-barabasi
0.559,0.283,0.55,0.49,0.2,albert-barabasi
0.558,0.286,0.52,0.4,0.2,albert-barabasi
0.558,0.291,0.48,0.38,0.2,albert-barabasi
0.558,0.289,0.5,0.42,0.2,albert-barabasi
0.559,0.3,0.49,0.33,0.2,albert-barabasi
0.56,0.3,0.48,0.39,0.2,albert-barabasi
0.564,0.309,0.45,0.34,0.30000000000000004,albert-barabasi
0.565,0.312,0.46,0.35,0.30000000000000004,albert-barabasi
0.565,0.308,0.47,0.39,0.30000000000000004,albert-barabasi
0.563,0.303,0.51,0.4,0.30000000000000004,albert-barabasi
0.56,0.29,0.56,0.46,0.30000000000000004,albert-barabasi
0.559,0.29,0.53,0.4,0.30000000000000004,albert-barabasi
0.559,0.297,0.49,0.36,0.30000000000000004,albert-barabasi
0.559,0.296,0.5,0.4,0.30000000000000004,albert-barabasi
0.559,0.306,0.52,0.32,0.30000000000000004,albert-barabasi
0.56,0.307,0.48,0.37,0.30000000000000004,albert-barabasi
0.564,0.313,0.46,0.33,0.4,albert-barabasi
0.564,0.314,0.47,0.35,0.4,albert-barabasi
0.565,0.311,0.45,0.38,0.4,albert-barabasi
0.564,0.307,0.51,0.39,0.4,albert-barabasi
0.561,0.294,0.56,0.45,0.4,albert-barabasi
0.559,0.294,0.55,0.39,0.4,albert-barabasi
0.559,0.301,0.5,0.35,0.4,albert-barabasi
0.559,0.299,0.5,0.4,0.4,albert-barabasi
0.559,0.308,0.52,0.32,0.4,albert-barabasi
0.561,0.309,0.48,0.37,0.4,albert-barabasi
0.564,0.314,0.48,0.33,0.5,albert-barabasi
0.564,0.315,0.48,0.35,0.5,albert-barabasi
0.565,0.312,0.46,0.38,0.5,albert-barabasi
0.564,0.307,0.51,0.39,0.5,albert-barabasi
0.56,0.294,0.57,0.45,0.5,albert-barabasi
0.558,0.29,0.57,0.42,0.5,albert-barabasi
0.558,0.296,0.51,0.36,0.5,albert-barabasi
0.558,0.297,0.51,0.39,0.5,albert-barabasi
0.559,0.31,0.51,0.3,0.5,albert-barabasi
0.56,0.312,0.48,0.36,0.5,albert-barabasi
0.566,0.326,0.47,0.29,0.6000000000000001,albert-barabasi
0.567,0.33,0.48,0.31,0.6000000000000001,albert-barabasi
0.568,0.328,0.47,0.34,0.6000000000000001,albert-barabasi
0.567,0.322,0.5,0.37,0.6000000000000001,albert-barabasi
0.563,0.306,0.56,0.44,0.6000000000000001,albert-barabasi
0.56,0.298,0.56,0.42,0.6000000000000001,albert-barabasi
0.56,0.301,0.51,0.36,0.6000000000000001,albert-barabasi
0.56,0.301,0.51,0.38,0.6000000000000001,albert-barabasi
0.56,0.316,0.52,0.28,0.6000000000000001,albert-barabasi
0.561,0.319,0.49,0.34,0.6000000000000001,albert-barabasi
0.567,0.329,0.47,0.29,0.7000000000000001,albert-barabasi
0.568,0.332,0.48,0.31,0.7000000000000001,albert-barabasi
0.568,0.33,0.47,0.34,0.7000000000000001,albert-barabasi
0.567,0.323,0.51,0.37,0.7000000000000001,albert-barabasi
0.564,0.306,0.56,0.44,0.7000000000000001,albert-barabasi
0.56,0.298,0.57,0.42,0.7000000000000001,albert-barabasi
0.559,0.301,0.54,0.36,0.7000000000000001,albert-barabasi
0.558,0.301,0.54,0.38,0.7000000000000001,albert-barabasi
0.559,0.317,0.53,0.27,0.7000000000000001,albert-barabasi
0.561,0.321,0.48,0.33,0.7000000000000001,albert-barabasi
0.567,0.342,0.49,0.26,0.8,albert-barabasi
0.569,0.347,0.48,0.28,0.8,albert-barabasi
0.57,0.345,0.47,0.31,0.8,albert-barabasi
0.569,0.34,0.52,0.33,0.8,albert-barabasi
0.565,0.322,0.57,0.42,0.8,albert-barabasi
0.561,0.311,0.6,0.4,0.8,albert-barabasi
0.559,0.315,0.57,0.33,0.8,albert-barabasi
0.559,0.314,0.55,0.36,0.8,albert-barabasi
0.56,0.33,0.53,0.25,0.8,albert-barabasi
0.562,0.338,0.48,0.28,0.8,albert-barabasi
0.591,0.34,0.32,0.26,0.9,albert-barabasi
0.593,0.349,0.33,0.25,0.9,albert-barabasi
0.595,0.35,0.34,0.28,0.9,albert-barabasi
0.594,0.35,0.4,0.28,0.9,albert-barabasi
0.591,0.337,0.42,0.35,0.9,albert-barabasi
0.587,0.325,0.44,0.37,0.9,albert-barabasi
0.583,0.327,0.47,0.3,0.9,albert-barabasi
0.58,0.325,0.46,0.32,0.9,albert-barabasi
0.578,0.341,0.47,0.22,0.9,albert-barabasi
0.577,0.347,0.47,0.26,0.9,albert-barabasi
0.561,0.301,0.45,0.34,0.0,random-graph
0.562,0.3,0.47,0.39,0.0,random-graph
0.561,0.296,0.49,0.42,0.0,random-graph
0.56,0.297,0.52,0.38,0.0,random-graph
0.558,0.282,0.54,0.5,0.0,random-graph
0.557,0.287,0.52,0.38,0.0,random-graph
0.558,0.291,0.47,0.39,0.0,random-graph
0.558,0.288,0.51,0.43,0.0,random-graph
0.559,0.298,0.48,0.34,0.0,random-graph
0.559,0.3,0.49,0.38,0.0,random-graph
0.561,0.302,0.45,0.35,0.1,random-graph
0.562,0.304,0.47,0.37,0.1,random-graph
0.562,0.297,0.49,0.43,0.1,random-graph
0.56,0.294,0.54,0.41,0.1,random-graph
0.557,0.279,0.54,0.5,0.1,random-graph
0.557,0.284,0.51,0.39,0.1,random-graph
0.558,0.289,0.49,0.39,0.1,random-graph
0.557,0.286,0.51,0.43,0.1,random-graph
0.558,0.294,0.48,0.36,0.1,random-graph
0.559,0.298,0.48,0.38,0.1,random-graph
0.561,0.303,0.45,0.35,0.2,random-graph
0.562,0.305,0.47,0.37,0.2,random-graph
0.561,0.297,0.5,0.43,0.2,random-graph
0.56,0.293,0.54,0.42,0.2,random-graph
0.557,0.276,0.55,0.52,0.2,random-graph
0.556,0.279,0.52,0.41,0.2,random-graph
0.557,0.285,0.49,0.39,0.2,random-graph
0.556,0.284,0.51,0.43,0.2,random-graph
0.557,0.293,0.49,0.36,0.2,random-graph
0.558,0.296,0.5,0.38,0.2,random-graph
0.561,0.305,0.45,0.35,0.30000000000000004,random-graph
0.562,0.306,0.47,0.37,0.30000000000000004,random-graph
0.562,0.298,0.49,0.43,0.30000000000000004,random-graph
0.56,0.293,0.54,0.42,0.30000000000000004,random-graph
0.557,0.276,0.55,0.52,0.30000000000000004,random-graph
0.556,0.278,0.53,0.42,0.30000000000000004,random-graph
0.556,0.285,0.49,0.38,0.30000000000000004,random-graph
0.556,0.283,0.52,0.44,0.30000000000000004,random-graph
0.557,0.293,0.5,0.35,0.30000000000000004,random-graph
0.557,0.297,0.5,0.38,0.30000000000000004,random-graph
0.562,0.308,0.45,0.35,0.4,random-graph
0.563,0.31,0.47,0.36,0.4,random-graph
0.563,0.302,0.49,0.42,0.4,random-graph
0.56,0.296,0.55,0.42,0.4,random-graph
0.557,0.278,0.55,0.52,0.4,random-graph
0.556,0.278,0.54,0.43,0.4,random-graph
0.556,0.285,0.51,0.38,0.4,random-graph
0.555,0.284,0.53,0.43,0.4,random-graph
0.556,0.294,0.5,0.35,0.4,random-graph
0.557,0.297,0.5,0.38,0.4,random-graph
0.563,0.316,0.45,0.32,0.5,random-graph
0.564,0.322,0.47,0.32,0.5,random-graph
0.564,0.315,0.5,0.39,0.5,random-graph
0.561,0.305,0.56,0.42,0.5,random-graph
0.558,0.283,0.56,0.52,0.5,random-graph
0.556,0.28,0.55,0.44,0.5,random-graph
0.556,0.285,0.51,0.39,0.5,random-graph
0.555,0.285,0.54,0.42,0.5,random-graph
0.556,0.293,0.52,0.36,0.5,random-graph
0.556,0.297,0.5,0.38,0.5,random-graph
0.562,0.317,0.46,0.31,0.6000000000000001,random-graph
0.564,0.327,0.46,0.29,0.6000000000000001,random-graph
0.564,0.323,0.5,0.36,0.6000000000000001,random-graph
0.562,0.317,0.56,0.38,0.6000000000000001,random-graph
0.559,0.294,0.56,0.5,0.6000000000000001,random-graph
0.557,0.289,0.57,0.43,0.6000000000000001,random-graph
0.556,0.288,0.55,0.41,0.6000000000000001,random-graph
0.554,0.288,0.57,0.41,0.6000000000000001,random-graph
0.555,0.297,0.53,0.35,0.6000000000000001,random-graph
0.556,0.301,0.51,0.37,0.6000000000000001,random-graph
0.564,0.323,0.44,0.3,0.7000000000000001,random-graph
0.566,0.334,0.45,0.27,0.7000000000000001,random-graph
0.567,0.337,0.49,0.31,0.7000000000000001,random-graph
0.565,0.332,0.56,0.34,0.7000000000000001,random-graph
0.562,0.312,0.57,0.45,0.7000000000000001,random-graph
0.559,0.304,0.58,0.41,0.7000000000000001,random-graph
0.557,0.298,0.58,0.41,0.7000000000000001,random-graph
0.554,0.294,0.61,0.41,0.7000000000000001,random-graph
0.554,0.302,0.55,0.34,0.7000000000000001,random-graph
0.556,0.308,0.51,0.35,0.7000000000000001,random-graph
0.57,0.326,0.38,0.29,0.8,random-graph
0.572,0.338,0.42,0.26,0.8,random-graph
0.573,0.344,0.44,0.28,0.8,random-graph
0.572,0.346,0.51,0.29,0.8,random-graph
0.57,0.329,0.51,0.4,0.8,random-graph
0.568,0.32,0.51,0.38,0.8,random-graph
0.566,0.315,0.52,0.37,0.8,random-graph
0.562,0.309,0.58,0.38,0.8,random-graph
0.561,0.315,0.55,0.32,0.8,random-graph
0.561,0.32,0.52,0.32,0.8,random-graph
0.579,0.335,0.29,0.27,0.9,random-graph
0.581,0.345,0.37,0.26,0.9,random-graph
0.583,0.348,0.39,0.28,0.9,random-graph
0.583,0.35,0.43,0.28,0.9,random-graph
0.58,0.336,0.46,0.37,0.9,random-graph
0.577,0.325,0.5,0.37,0.9,random-graph
0.572,0.317,0.54,0.37,0.9,random-graph
0.566,0.31,0.58,0.38,0.9,random-graph
0.563,0.313,0.56,0.33,0.9,random-graph
0.563,0.316,0.52,0.33,0.9,random-graph
0.561,0.301,0.45,0.34,0.0,watts-strogatz
0.562,0.3,0.47,0.39,0.0,watts-strogatz
0.561,0.296,0.49,0.42,0.0,watts-strogatz
0.56,0.297,0.52,0.38,0.0,watts-strogatz
0.558,0.282,0.54,0.5,0.0,watts-strogatz
0.557,0.287,0.52,0.38,0.0,watts-strogatz
0.558,0.291,0.47,0.39,0.0,watts-strogatz
0.558,0.288,0.51,0.43,0.0,watts-strogatz
0.559,0.298,0.48,0.34,0.0,watts-strogatz
0.559,0.3,0.49,0.38,0.0,watts-strogatz
0.561,0.304,0.45,0.34,0.1,watts-strogatz
0.562,0.306,0.47,0.37,0.1,watts-strogatz
0.562,0.299,0.49,0.42,0.1,watts-strogatz
0.56,0.297,0.53,0.4,0.1,watts-strogatz
0.558,0.281,0.55,0.5,0.1,watts-strogatz
0.557,0.287,0.53,0.38,0.1,watts-strogatz
0.557,0.292,0.5,0.38,0.1,watts-strogatz
0.557,0.289,0.51,0.43,0.1,watts-strogatz
0.559,0.297,0.47,0.35,0.1,watts-strogatz
0.559,0.3,0.5,0.38,0.1,watts-strogatz
0.561,0.305,0.46,0.34,0.2,watts-strogatz
0.562,0.306,0.47,0.37,0.2,watts-strogatz
0.562,0.298,0.47,0.43,0.2,watts-strogatz
0.561,0.295,0.52,0.41,0.2,watts-strogatz
0.558,0.279,0.55,0.51,0.2,watts-strogatz
0.557,0.284,0.53,0.39,0.2,watts-strogatz
0.557,0.289,0.51,0.38,0.2,watts-strogatz
0.557,0.287,0.51,0.43,0.2,watts-strogatz
0.558,0.296,0.46,0.35,0.2,watts-strogatz
0.559,0.299,0.5,0.38,0.2,watts-strogatz
0.561,0.309,0.48,0.34,0.30000000000000004,watts-strogatz
0.562,0.309,0.47,0.37,0.30000000000000004,watts-strogatz
0.563,0.302,0.46,0.42,0.30000000000000004,watts-strogatz
0.561,0.297,0.53,0.41,0.30000000000000004,watts-strogatz
0.558,0.281,0.55,0.5,0.30000000000000004,watts-strogatz
0.557,0.284,0.53,0.4,0.30000000000000004,watts-strogatz
0.557,0.287,0.51,0.4,0.30000000000000004,watts-strogatz
0.557,0.284,0.51,0.44,0.30000000000000004,watts-strogatz
0.558,0.294,0.46,0.35,0.30000000000000004,watts-strogatz
0.559,0.297,0.5,0.38,0.30000000000000004,watts-strogatz
0.562,0.316,0.48,0.34,0.4,watts-strogatz
0.563,0.317,0.47,0.35,0.4,watts-strogatz
0.564,0.31,0.46,0.4,0.4,watts-strogatz
0.562,0.304,0.53,0.4,0.4,watts-strogatz
0.56,0.286,0.55,0.5,0.4,watts-strogatz
0.558,0.287,0.54,0.4,0.4,watts-strogatz
0.557,0.289,0.52,0.4,0.4,watts-strogatz
0.557,0.285,0.52,0.44,0.4,watts-strogatz
0.558,0.294,0.46,0.35,0.4,watts-strogatz
0.559,0.299,0.49,0.37,0.4,watts-strogatz
0.563,0.316,0.48,0.34,0.5,watts-strogatz
0.564,0.317,0.47,0.35,0.5,watts-strogatz
0.565,0.311,0.45,0.39,0.5,watts-strogatz
0.564,0.304,0.51,0.41,0.5,watts-strogatz
0.561,0.284,0.54,0.51,0.5,watts-strogatz
0.558,0.284,0.55,0.41,0.5,watts-strogatz
0.557,0.286,0.52,0.4,0.5,watts-strogatz
0.557,0.283,0.52,0.44,0.5,watts-strogatz
0.559,0.293,0.45,0.35,0.5,watts-strogatz
0.56,0.3,0.46,0.36,0.5,watts-strogatz
0.563,0.325,0.49,0.32,0.6000000000000001,watts-strogatz
0.565,0.331,0.47,0.3,0.6000000000000001,watts-strogatz
0.567,0.326,0.44,0.36,0.6000000000000001,watts-strogatz
0.566,0.321,0.5,0.37,0.6000000000000001,watts-strogatz
0.564,0.299,0.53,0.48,0.6000000000000001,watts-strogatz
0.561,0.296,0.55,0.4,0.6000000000000001,watts-strogatz
