network_type,tgt_agt_centr,Persuasion,Value
watts-strogatz,24,0.30000000000000004,[1.05958055]
watts-strogatz,24,0.4,[1.01261421]
watts-strogatz,24,0.5,[0.9495424]
watts-strogatz,24,0.6000000000000001,[0.7437229]
watts-strogatz,24,0.7000000000000001,[0.62851774]
watts-strogatz,24,0.8,[0.41541014]
watts-strogatz,24,0.9,[0.31868461]
watts-strogatz,24,1.0,[0.12212372]
regular-graph,0,0.0,[1.15608535]
regular-graph,0,0.1,[1.1247577]
regular-graph,0,0.2,[1.09606293]
regular-graph,0,0.30000000000000004,[1.05671047]
regular-graph,0,0.4,[0.98326595]
regular-graph,0,0.5,[0.92640762]
regular-graph,0,0.6000000000000001,[0.74995947]
regular-graph,0,0.7000000000000001,[0.5548706]
regular-graph,0,0.8,[0.39399513]
regular-graph,0,0.9,[0.32115182]
regular-graph,0,1.0,[0.12630159]
regular-graph,4,0.0,[1.15608535]
regular-graph,4,0.1,[1.12486615]
regular-graph,4,0.2,[1.09591797]
regular-graph,4,0.30000000000000004,[1.06266098]
regular-graph,4,0.4,[0.983451]
regular-graph,4,0.5,[0.92517746]
regular-graph,4,0.6000000000000001,[0.7495471]
regular-graph,4,0.7000000000000001,[0.56493253]
regular-graph,4,0.8,[0.40273329]
regular-graph,4,0.9,[0.31543557]
regular-graph,4,1.0,[0.12599577]
regular-graph,9,0.0,[1.15608535]
regular-graph,9,0.1,[1.12501688]
regular-graph,9,0.2,[1.09658064]
regular-graph,9,0.30000000000000004,[1.06340261]
regular-graph,9,0.4,[0.99524615]
regular-graph,9,0.5,[0.9340556]
regular-graph,9,0.6000000000000001,[0.72969201]
regular-graph,9,0.7000000000000001,[0.58144303]
regular-graph,9,0.8,[0.40424121]
regular-graph,9,0.9,[0.31563311]
regular-graph,9,1.0,[0.13648646]
regular-graph,24,0.0,[1.15608535]
regular-graph,24,0.1,[1.12465783]
regular-graph,24,0.2,[1.09619254]
regular-graph,24,0.30000000000000004,[1.06209107]
regular-graph,24,0.4,[0.99683144]
regular-graph,24,0.5,[0.93556388]
regular-graph,24,0.6000000000000001,[0.75940387]
regular-graph,24,0.7000000000000001,[0.57436732]
regular-graph,24,0.8,[0.39979383]
regular-graph,24,0.9,[0.31389465]
regular-graph,24,1.0,[0.13370426]
