network_type,tgt_agt_centr,Persuasion,Value
watts-strogatz,9,0.9,[-0.15128271]
watts-strogatz,9,1.0,[-0.11139372]
watts-strogatz,24,0.0,[-0.39874728]
watts-strogatz,24,0.1,[-0.37923279]
watts-strogatz,24,0.2,[-0.36990376]
watts-strogatz,24,0.30000000000000004,[-0.34326493]
watts-strogatz,24,0.4,[-0.34859015]
watts-strogatz,24,0.5,[-0.31281474]
watts-strogatz,24,0.6000000000000001,[-0.21022325]
watts-strogatz,24,0.7000000000000001,[-0.20029536]
watts-strogatz,24,0.8,[-0.15865805]
watts-strogatz,24,0.9,[-0.15722379]
watts-strogatz,24,1.0,[-0.10293659]
regular-graph,0,0.0,[-0.39874728]
regular-graph,0,0.1,[-0.38014495]
regular-graph,0,0.2,[-0.36220776]
regular-graph,0,0.30000000000000004,[-0.34490186]
regular-graph,0,0.4,[-0.32484095]
regular-graph,0,0.5,[-0.30172832]
regular-graph,0,0.6000000000000001,[-0.22849423]
regular-graph,0,0.7000000000000001,[-0.16886072]
regular-graph,0,0.8,[-0.16345834]
regular-graph,0,0.9,[-0.15670527]
regular-graph,0,1.0,[-0.10727942]
regular-graph,4,0.0,[-0.39874728]
regular-graph,4,0.1,[-0.38014473]
regular-graph,4,0.2,[-0.36150842]
regular-graph,4,0.30000000000000004,[-0.3404065]
regular-graph,4,0.4,[-0.32505687]
regular-graph,4,0.5,[-0.30943307]
regular-graph,4,0.6000000000000001,[-0.22899505]
regular-graph,4,0.7000000000000001,[-0.17399816]
regular-graph,4,0.8,[-0.16660826]
regular-graph,4,0.9,[-0.14544049]
regular-graph,4,1.0,[-0.10978035]
regular-graph,9,0.0,[-0.39874728]
regular-graph,9,0.1,[-0.37999326]
regular-graph,9,0.2,[-0.36124452]
regular-graph,9,0.30000000000000004,[-0.33885765]
regular-graph,9,0.4,[-0.31487926]
regular-graph,9,0.5,[-0.30369582]
regular-graph,9,0.6000000000000001,[-0.21731689]
regular-graph,9,0.7000000000000001,[-0.17859148]
regular-graph,9,0.8,[-0.16525635]
regular-graph,9,0.9,[-0.14883238]
regular-graph,9,1.0,[-0.11219276]
regular-graph,24,0.0,[-0.39874728]
regular-graph,24,0.1,[-0.3798076]
regular-graph,24,0.2,[-0.36206659]
regular-graph,24,0.30000000000000004,[-0.34016774]
regular-graph,24,0.4,[-0.31196606]
regular-graph,24,0.5,[-0.29956902]
regular-graph,24,0.6000000000000001,[-0.22901098]
regular-graph,24,0.7000000000000001,[-0.17501853]
regular-graph,24,0.8,[-0.16372522]
regular-graph,24,0.9,[-0.15066839]
regular-graph,24,1.0,[-0.11158547]
