network_type,tgt_agt_centr,Persuasion,Value
albert-barabasi,0,0.0,[-0.34098633]
albert-barabasi,0,0.1,[-0.31845967]
albert-barabasi,0,0.2,[-0.30241467]
albert-barabasi,0,0.30000000000000004,[-0.28044654]
albert-barabasi,0,0.4,[-0.25584526]
albert-barabasi,0,0.5,[-0.22022502]
albert-barabasi,0,0.6000000000000001,[-0.17529134]
albert-barabasi,0,0.7000000000000001,[-0.12632035]
albert-barabasi,0,0.8,[-0.09302641]
albert-barabasi,0,0.9,[-0.07892477]
albert-barabasi,0,1.0,[-0.07269608]
albert-barabasi,4,0.0,[-0.34098633]
albert-barabasi,4,0.1,[-0.31902767]
albert-barabasi,4,0.2,[-0.30273413]
albert-barabasi,4,0.30000000000000004,[-0.28590465]
albert-barabasi,4,0.4,[-0.25200979]
albert-barabasi,4,0.5,[-0.2375279]
albert-barabasi,4,0.6000000000000001,[-0.18352404]
albert-barabasi,4,0.7000000000000001,[-0.13138134]
albert-barabasi,4,0.8,[-0.09177035]
albert-barabasi,4,0.9,[-0.08506697]
albert-barabasi,4,1.0,[-0.17116368]
albert-barabasi,9,0.0,[-0.34098633]
albert-barabasi,9,0.1,[-0.31971899]
albert-barabasi,9,0.2,[-0.30128087]
albert-barabasi,9,0.30000000000000004,[-0.28445808]
albert-barabasi,9,0.4,[-0.25256858]
albert-barabasi,9,0.5,[-0.21901364]
albert-barabasi,9,0.6000000000000001,[-0.17121463]
albert-barabasi,9,0.7000000000000001,[-0.13112608]
albert-barabasi,9,0.8,[-0.09576443]
albert-barabasi,9,0.9,[-0.08251911]
albert-barabasi,9,1.0,[-0.16202164]
albert-barabasi,24,0.0,[-0.34098633]
albert-barabasi,24,0.1,[-0.31759289]
albert-barabasi,24,0.2,[-0.30024758]
albert-barabasi,24,0.30000000000000004,[-0.28543814]
albert-barabasi,24,0.4,[-0.25036738]
albert-barabasi,24,0.5,[-0.22331016]
albert-barabasi,24,0.6000000000000001,[-0.1744772]
albert-barabasi,24,0.7000000000000001,[-0.1301793]
albert-barabasi,24,0.8,[-0.09439715]
albert-barabasi,24,0.9,[-0.08340353]
