network_type,tgt_agt_centr,Persuasion,Value
watts-strogatz,24,0.30000000000000004,[1.1419268]
watts-strogatz,24,0.4,[1.10479104]
watts-strogatz,24,0.5,[1.06138122]
watts-strogatz,24,0.6000000000000001,[0.91647221]
watts-strogatz,24,0.7000000000000001,[0.84248093]
watts-strogatz,24,0.8,[0.73695268]
watts-strogatz,24,0.9,[0.69654852]
watts-strogatz,24,1.0,[0.6183479]
regular-graph,0,0.0,[1.21227585]
regular-graph,0,0.1,[1.18850397]
regular-graph,0,0.2,[1.16869622]
regular-graph,0,0.30000000000000004,[1.13951932]
regular-graph,0,0.4,[1.08533423]
regular-graph,0,0.5,[1.04591439]
regular-graph,0,0.6000000000000001,[0.92337206]
regular-graph,0,0.7000000000000001,[0.79941027]
regular-graph,0,0.8,[0.72450652]
regular-graph,0,0.9,[0.69746099]
regular-graph,0,1.0,[0.62349065]
regular-graph,4,0.0,[1.21227585]
regular-graph,4,0.1,[1.18851384]
regular-graph,4,0.2,[1.16859987]
regular-graph,4,0.30000000000000004,[1.14481006]
regular-graph,4,0.4,[1.08545752]
regular-graph,4,0.5,[1.04419631]
regular-graph,4,0.6000000000000001,[0.92303277]
regular-graph,4,0.7000000000000001,[0.806064]
regular-graph,4,0.8,[0.72863954]
regular-graph,4,0.9,[0.69370553]
regular-graph,4,1.0,[0.62362373]
regular-graph,9,0.0,[1.21227585]
regular-graph,9,0.1,[1.18880516]
regular-graph,9,0.2,[1.16914515]
regular-graph,9,0.30000000000000004,[1.14537339]
regular-graph,9,0.4,[1.09420252]
regular-graph,9,0.5,[1.05075249]
regular-graph,9,0.6000000000000001,[0.90779146]
regular-graph,9,0.7000000000000001,[0.81280491]
regular-graph,9,0.8,[0.73001706]
regular-graph,9,0.9,[0.69345028]
regular-graph,9,1.0,[0.62508193]
regular-graph,24,0.0,[1.21227585]
regular-graph,24,0.1,[1.18848371]
regular-graph,24,0.2,[1.16874136]
regular-graph,24,0.30000000000000004,[1.14425891]
regular-graph,24,0.4,[1.09516461]
regular-graph,24,0.5,[1.05257474]
regular-graph,24,0.6000000000000001,[0.92872381]
regular-graph,24,0.7000000000000001,[0.81224429]
regular-graph,24,0.8,[0.72693528]
regular-graph,24,0.9,[0.69366883]
regular-graph,24,1.0,[0.62332281]
